Team,Opp,Tm_Score,Opp_Score,O_1stD,O_TotYd,O_PassY,O_RushY,O_TO,D_1stD,D_TotYd,D_PassY,D_RushY,D_TO,EX_Offense,EX_Defense,EX_Sp. Tms,Year
Philadelphia Eagles,Detroit Lions,38,35,27,455,239,216,,23,386,205,181,1,21.15,-15.67,-0.78,2022
Philadelphia Eagles,Minnesota Vikings,24,7,25,486,323,163,1,20,264,202,62,3,14.26,7.86,-7.37,2022
Philadelphia Eagles,Washington Commanders,24,8,21,400,328,72,,20,240,153,87,1,9.65,18.29,-8.92,2022
Philadelphia Eagles,Jacksonville Jaguars,29,21,25,401,191,210,1,13,219,148,71,5,-0.18,11.06,-1.97,2022
Philadelphia Eagles,Arizona Cardinals,20,17,24,357,218,139,,23,363,239,124,1,10.63,-12.33,5.16,2022
Philadelphia Eagles,Dallas Cowboys,26,17,22,268,132,136,,21,315,181,134,3,7.95,0.04,3.76,2022
Philadelphia Eagles,Pittsburgh Steelers,35,13,20,401,290,111,,21,302,158,144,2,23.31,4.96,-2.01,2022
Philadelphia Eagles,Houston Texans,29,17,24,360,217,143,1,20,303,135,168,2,17.84,-1.89,-2.38,2022
Philadelphia Eagles,Washington Commanders,21,32,18,264,170,94,4,25,330,178,152,2,-1.89,-4.13,-5.98,2022
Philadelphia Eagles,Indianapolis Colts,17,16,18,314,173,141,2,14,284,185,99,1,-3.73,9.33,-1.97,2022
Philadelphia Eagles,Green Bay Packers,40,33,29,500,137,363,1,19,342,236,106,2,20.82,-11.56,0.51,2022
Philadelphia Eagles,Tennessee Titans,35,10,26,453,386,67,,11,209,122,87,,25.58,8.95,-6.75,2022
Philadelphia Eagles,New York Giants,48,22,27,437,184,253,,18,304,181,123,1,28.9,1.45,-1.98,2022
Philadelphia Eagles,Chicago Bears,25,20,20,421,309,112,3,15,248,91,157,1,5.25,6.32,-2.12,2022
Philadelphia Eagles,Dallas Cowboys,34,40,25,442,355,87,4,25,419,304,115,1,7.76,-12.39,-0.74,2022
Philadelphia Eagles,New Orleans Saints,10,20,11,313,246,67,1,19,313,184,129,1,-12.38,2.95,-0.32,2022
Philadelphia Eagles,New York Giants,22,16,23,342,207,135,1,18,284,155,129,,0.69,1.86,4.64,2022
Philadelphia Eagles,Atlanta Falcons,32,6,24,434,261,173,,19,260,136,124,,13.14,12.48,-2.36,2021
Philadelphia Eagles,San Francisco 49ers,11,17,18,328,177,151,,23,306,189,117,,5.3,-7.86,-2.68,2021
Philadelphia Eagles,Dallas Cowboys,21,41,12,367,303,64,2,27,380,220,160,1,-11.19,-9.13,0.01,2021
